10|Brasil
21|Argentina
22|Bolivia
23|Chile
24|Paraguai
25|Uruguai
25|Uruguai
26|Colombia
27|Equador
30|Alemanha
31|Belgica
34|Canada
35|Espanha
36|Estados Unidos Da America (Eua)
37|Franca
38|Suica
39|Italia
41|Japao
42|China
43|Coreia
45|Portugal
46|Belize
51|Costa Rica
52|Cuba
55|Republica Dominicana
56|Republica De El Salvador
61|Guatemala
62|Republica Do Haiti
64|Honduras
66|Jamaica
68|Martinica
71|Nicaragua
72|Panama
74|Porto Rico
85|Mexico
89|Peru
90|Suriname
91|Trinidad E Tobago
92|Venezuela
93|Albania
95|Austria
96|Bulgaria
98|Dinamarca
102|Finlandia
105|Holanda
110|Reino Unido
112|Irlanda
123|Polonia
124|Romenia
126|Suecia
130|Croacia
134|Bosnia Herzegovina
135|Republica Tcheca
140|Republica Da Bielorrussia
143|Cazaquistao
147|Estonia
156|Lituania
175|Angola
178|Benin
181|Camaroes
185|Congo
186|Costa Do Marfim
189|Republica Arabe Do Egito
191|Republica Do Gabao
195|Guiné-Bissau
202|Libia
207|Marrocos
209|Mauritania
210|Mocambique
213|Nigeria
217|Quenia
224|Sao Tome E Principe
229|Sudao
233|Togo
242|Arabia Saudita
245|Brunei
249|China (Taiwan)
253|Hong Kong
255|India
256|Indonesia
257|Ira
258|Iraque
259|Israel
260|Jordania
264|Libano
266|Malasia
269|Mongolia
272|Palestina
273|Paquistao
277|Siria
279|Tailandia
281|Turquia
288|Australia
329|Timor
343|Cabo Verde
344|Guine Bissau
348|Russia
349|Senegal
378|Africa do Sul
380|Anguilla
384|Antigua e Barbuda
391|Republica Democratica do Congo (antigo Zaire)
402|Guine-Conacri
404|Guiana
